EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 24-04-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IRELAND, WATERFORD (TYCOR) (STAID: 1760).
Blended and updated with sources: 107762 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107762,19420615,    0,    0
107762,19420616,-9999,    9
107762,19420617,-9999,    9
107762,19420618,    0,    0
107762,19420619,    0,    0
107762,19420620,    0,    0
107762,19420621,    0,    0
107762,19420622,    0,    0
107762,19420623,    0,    0
107762,19420624,    0,    0
107762,19420625,    0,    0
107762,19420626,    0,    0
107762,19420627,    0,    0
107762,19420628,    0,    0
107762,19420629,    0,    0
107762,19420630,    0,    0
107762,19420701,    0,    0
107762,19420702,   46,    0
107762,19420703,   61,    0
107762,19420704,   61,    0
107762,19420705,   18,    0
107762,19420706,    0,    0
107762,19420707,    8,    0
107762,19420708,   53,    0
107762,19420709,    3,    0
107762,19420710,    5,    0
107762,19420711,    0,    0
107762,19420712,-9999,    9
107762,19420713,    0,    0
107762,19420714,-9999,    9
107762,19420715,   53,    0
107762,19420716,-9999,    9
107762,19420717,    0,    0
107762,19420718,    0,    0
107762,19420719,    0,    0
107762,19420720,    0,    0
107762,19420721,   30,    0
107762,19420722,    3,    0
107762,19420723,    0,    0
107762,19420724,  117,    0
107762,19420725,    5,    0
107762,19420726,  142,    0
107762,19420727,    0,    0
107762,19420728,   10,    0
107762,19420729,    0,    0
107762,19420730,    0,    0
107762,19420731,    0,    0
107762,19420801,  107,    0
107762,19420802,   71,    0
107762,19420803,    0,    0
107762,19420804,    0,    0
107762,19420805,    0,    0
107762,19420806,    8,    0
107762,19420807,  206,    0
107762,19420808,   91,    0
107762,19420809,   41,    0
107762,19420810,    0,    0
107762,19420811,    0,    0
107762,19420812,    5,    0
107762,19420813,    0,    0
107762,19420814,  107,    0
107762,19420815,    0,    0
107762,19420816,    0,    0
107762,19420817,    0,    0
107762,19420818,  137,    0
107762,19420819,    0,    0
107762,19420820,   36,    0
107762,19420821,    5,    0
107762,19420822,   13,    0
107762,19420823,    0,    0
107762,19420824,  307,    0
107762,19420825,   86,    0
107762,19420826,    0,    0
107762,19420827,    0,    0
107762,19420828,    0,    0
107762,19420829,   99,    0
107762,19420830,   15,    0
107762,19420831,    0,    0
107762,19420901,    8,    0
107762,19420902,   74,    0
107762,19420903,    0,    0
107762,19420904,   91,    0
107762,19420905,    8,    0
107762,19420906,    0,    0
107762,19420907,    3,    0
107762,19420908,    3,    0
107762,19420909,    0,    0
107762,19420910,    0,    0
107762,19420911,    0,    0
107762,19420912,    0,    0
107762,19420913,    3,    0
107762,19420914,    0,    0
107762,19420915,    0,    0
107762,19420916,    0,    0
107762,19420917,    0,    0
107762,19420918,    8,    0
107762,19420919,  160,    0
107762,19420920,   36,    0
107762,19420921,    8,    0
107762,19420922,    0,    0
107762,19420923,    3,    0
107762,19420924,   13,    0
107762,19420925,    0,    0
107762,19420926,    0,    0
107762,19420927,   89,    0
107762,19420928,   10,    0
107762,19420929,   74,    0
107762,19420930,  170,    0
107762,19421001,    5,    0
107762,19421002,   10,    0
107762,19421003,    0,    0
107762,19421004,    3,    0
107762,19421005,    0,    0
107762,19421006,    0,    0
107762,19421007,   23,    0
107762,19421008,    5,    0
107762,19421009,   28,    0
107762,19421010,    3,    0
107762,19421011,   20,    0
107762,19421012,   15,    0
107762,19421013,   33,    0
107762,19421014,    8,    0
107762,19421015,    0,    0
107762,19421016,    3,    0
107762,19421017,    0,    0
107762,19421018,    0,    0
107762,19421019,   28,    0
107762,19421020,    8,    0
107762,19421021,   18,    0
107762,19421022,   20,    0
107762,19421023,    8,    0
107762,19421024,   43,    0
107762,19421025,    3,    0
107762,19421026,    0,    0
107762,19421027,    0,    0
107762,19421028,   15,    0
107762,19421029,    3,    0
107762,19421030,    0,    0
107762,19421031,    0,    0
107762,19421101,    0,    0
107762,19421102,    0,    0
107762,19421103,    0,    0
107762,19421104,    5,    0
107762,19421105,    3,    0
107762,19421106,   28,    0
107762,19421107,    0,    0
107762,19421108,    0,    0
107762,19421109,   13,    0
107762,19421110,   20,    0
107762,19421111,   10,    0
107762,19421112,    0,    0
107762,19421113,    0,    0
107762,19421114,    0,    0
107762,19421115,    0,    0
107762,19421116,    0,    0
107762,19421117,    0,    0
107762,19421118,    0,    0
107762,19421119,    0,    0
107762,19421120,    3,    0
107762,19421121,    0,    0
107762,19421122,    0,    0
107762,19421123,    0,    0
107762,19421124,    0,    0
107762,19421125,    0,    0
107762,19421126,    0,    0
107762,19421127,    8,    0
107762,19421128,-9999,    9
107762,19421129,    0,    0
107762,19421130,    0,    0
107762,19421201,   10,    0
107762,19421202,   30,    0
107762,19421203,    8,    0
107762,19421204,   36,    0
107762,19421205,-9999,    9
107762,19421206,    5,    0
107762,19421207,    3,    0
107762,19421208,   28,    0
107762,19421209,  264,    0
107762,19421210,  145,    0
107762,19421211,    0,    0
107762,19421212,  117,    0
107762,19421213,    3,    0
107762,19421214,   61,    0
107762,19421215,  117,    0
107762,19421216,   71,    0
107762,19421217,   20,    0
107762,19421218,   89,    0
107762,19421219,    8,    0
107762,19421220,  188,    0
107762,19421221,   10,    0
107762,19421222,    0,    0
107762,19421223,   10,    0
107762,19421224,   48,    0
107762,19421225,   13,    0
107762,19421226,   15,    0
107762,19421227,    8,    0
107762,19421228,    3,    0
107762,19421229,    0,    0
107762,19421230,   36,    0
107762,19421231,-9999,    9
107762,19430101,    3,    0
107762,19430102,    3,    0
107762,19430103,   20,    0
107762,19430104,   99,    0
107762,19430105,   69,    0
107762,19430106,    8,    0
107762,19430107,   15,    0
107762,19430108,  132,    0
107762,19430109,  117,    0
107762,19430110,  145,    0
107762,19430111,  135,    0
107762,19430112,    3,    0
107762,19430113,    0,    0
107762,19430114,    0,    0
107762,19430115,   79,    0
107762,19430116,  239,    0
107762,19430117,    5,    0
107762,19430118,   20,    0
107762,19430119,  130,    0
107762,19430120,  104,    0
107762,19430121,   30,    0
107762,19430122,    3,    0
107762,19430123,    8,    0
107762,19430124,  234,    0
107762,19430125,   43,    0
107762,19430126,    0,    0
107762,19430127,   86,    0
107762,19430128,  137,    0
107762,19430129,   66,    0
107762,19430130,  188,    0
107762,19430131,   15,    0
107762,19430201,   30,    0
107762,19430202,    3,    0
107762,19430203,    0,    0
107762,19430204,    0,    0
107762,19430205,   33,    0
107762,19430206,    8,    0
107762,19430207,    5,    0
107762,19430208,  201,    0
107762,19430209,    8,    0
107762,19430210,    3,    0
107762,19430211,    0,    0
107762,19430212,   10,    0
107762,19430213,    0,    0
107762,19430214,   15,    0
107762,19430215,    3,    0
107762,19430216,    3,    0
107762,19430217,    0,    0
107762,19430218,    0,    0
107762,19430219,    0,    0
107762,19430220,    0,    0
107762,19430221,    0,    0
107762,19430222,    0,    0
107762,19430223,    0,    0
107762,19430224,   13,    0
107762,19430225,-9999,    9
107762,19430226,    0,    0
107762,19430227,    0,    0
107762,19430228,    0,    0
107762,19430301,    0,    0
107762,19430302,    0,    0
107762,19430303,   91,    0
107762,19430304,    8,    0
107762,19430305,    0,    0
107762,19430306,    0,    0
107762,19430307,   23,    0
107762,19430308,    0,    0
107762,19430309,    0,    0
107762,19430310,    5,    0
107762,19430311,    0,    0
107762,19430312,    0,    0
107762,19430313,    0,    0
107762,19430314,    0,    0
107762,19430315,    5,    0
107762,19430316,    3,    0
107762,19430317,   36,    0
107762,19430318,    0,    0
107762,19430319,    0,    0
107762,19430320,    0,    0
107762,19430321,   10,    0
107762,19430322,    0,    0
107762,19430323,   56,    0
107762,19430324,   84,    0
107762,19430325,    3,    0
107762,19430326,   18,    0
107762,19430327,    0,    0
107762,19430328,   23,    0
107762,19430329,   15,    0
107762,19430330,    0,    0
107762,19430331,    3,    0
107762,19430401,    0,    0
107762,19430402,    0,    0
107762,19430403,    0,    0
107762,19430404,    0,    0
107762,19430405,    0,    0
107762,19430406,    0,    0
107762,19430407,    0,    0
107762,19430408,    0,    0
107762,19430409,    0,    0
107762,19430410,    0,    0
107762,19430411,    0,    0
107762,19430412,   89,    0
107762,19430413,-9999,    9
107762,19430414,    0,    0
107762,19430415,    0,    0
107762,19430416,    0,    0
107762,19430417,    0,    0
107762,19430418,    0,    0
107762,19430419,   15,    0
107762,19430420,    0,    0
107762,19430421,   28,    0
107762,19430422,-9999,    9
107762,19430423,   69,    0
107762,19430424,  112,    0
107762,19430425,    8,    0
107762,19430426,    3,    0
107762,19430427,    0,    0
107762,19430428,   28,    0
107762,19430429,   15,    0
107762,19430430,    0,    0
107762,19430501,    0,    0
107762,19430502,    0,    0
107762,19430503,    0,    0
107762,19430504,    0,    0
107762,19430505,   20,    0
107762,19430506,    0,    0
107762,19430507,  119,    0
107762,19430508,    8,    0
107762,19430509,  244,    0
107762,19430510,    3,    0
107762,19430511,   30,    0
107762,19430512,  142,    0
107762,19430513,    3,    0
107762,19430514,    0,    0
107762,19430515,    0,    0
107762,19430516,    0,    0
107762,19430517,    0,    0
107762,19430518,    0,    0
107762,19430519,    0,    0
107762,19430520,    0,    0
107762,19430521,   15,    0
107762,19430522,   86,    0
107762,19430523,    3,    0
107762,19430524,   13,    0
107762,19430525,   15,    0
107762,19430526,-9999,    9
107762,19430527,    0,    0
107762,19430528,    0,    0
107762,19430529,   20,    0
107762,19430530,   28,    0
107762,19430531,  119,    0
107762,19430601,   38,    0
107762,19430602,   30,    0
107762,19430603,   36,    0
107762,19430604,   33,    0
107762,19430605,    5,    0
107762,19430606,   53,    0
107762,19430607,   61,    0
107762,19430608,    0,    0
107762,19430609,   15,    0
107762,19430610,    5,    0
107762,19430611,    3,    0
107762,19430612,    0,    0
107762,19430613,   84,    0
107762,19430614,   10,    0
107762,19430615,    5,    0
107762,19430616,    3,    0
107762,19430617,   33,    0
107762,19430618,    8,    0
107762,19430619,   38,    0
107762,19430620,    8,    0
107762,19430621,    8,    0
107762,19430622,    5,    0
107762,19430623,    0,    0
107762,19430624,    0,    0
107762,19430625,    0,    0
107762,19430626,    0,    0
107762,19430627,    0,    0
107762,19430628,    0,    0
107762,19430629,    0,    0
107762,19430630,    0,    0
107762,19430701,    0,    0
107762,19430702,    0,    0
107762,19430703,    0,    0
107762,19430704,    0,    0
107762,19430705,    8,    0
107762,19430706,   23,    0
107762,19430707,   28,    0
107762,19430708,   10,    0
107762,19430709,   66,    0
107762,19430710,   15,    0
107762,19430711,   33,    0
107762,19430712,    8,    0
107762,19430713,   25,    0
107762,19430714,  196,    0
107762,19430715,    3,    0
107762,19430716,    0,    0
107762,19430717,   48,    0
107762,19430718,    3,    0
107762,19430719,    0,    0
107762,19430720,    0,    0
107762,19430721,    0,    0
107762,19430722,    0,    0
107762,19430723,    0,    0
107762,19430724,    0,    0
107762,19430725,    8,    0
107762,19430726,    5,    0
107762,19430727,   53,    0
107762,19430728,    0,    0
107762,19430729,    3,    0
107762,19430730,    0,    0
107762,19430731,   41,    0
107762,19430801,   23,    0
107762,19430802,    0,    0
107762,19430803,   23,    0
107762,19430804,  107,    0
107762,19430805,   38,    0
107762,19430806,   33,    0
107762,19430807,    0,    0
107762,19430808,    0,    0
107762,19430809,    0,    0
107762,19430810,    0,    0
107762,19430811,    0,    0
107762,19430812,   10,    0
107762,19430813,    5,    0
107762,19430814,    0,    0
107762,19430815,-9999,    9
107762,19430816,    0,    0
107762,19430817,    0,    0
107762,19430818,    0,    0
107762,19430819,  183,    0
107762,19430820,   10,    0
107762,19430821,    0,    0
107762,19430822,-9999,    9
107762,19430823,    8,    0
107762,19430824,  170,    0
